device_id,device_name,timestamp,power_draw_kw
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 21:45:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 21:50:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 21:55:00",21.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:00:00",1.21
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:05:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:10:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:15:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:20:00",13.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:25:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:30:00",41.9
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:35:00",13.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:40:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:45:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:50:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 22:55:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:00:00",10.4
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:05:00",42.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:10:00",42.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:15:00",23.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:20:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:25:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:30:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:35:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:40:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:45:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:50:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-30 23:55:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:00:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:05:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:10:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:15:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:20:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:25:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:30:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:35:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:40:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:45:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:50:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 00:55:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:00:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:05:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:10:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:15:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:20:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:25:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:30:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:35:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:40:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:45:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:50:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 01:55:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:00:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:05:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:10:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:15:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:20:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:25:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:30:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:35:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:40:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:45:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:50:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 02:55:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:00:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:05:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:10:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:15:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:20:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:25:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:30:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:35:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:40:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:45:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:50:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 03:55:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:00:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:05:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:10:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:15:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:20:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:25:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:30:00",1.16
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:35:00",7.42
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:40:00",42.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:45:00",42.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:50:00",42.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 04:55:00",42.0
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:00:00",42.0
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:05:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:10:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:15:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:20:00",41.9
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:25:00",41.9
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:30:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:35:00",5.28
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:40:00",1.22
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:45:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:50:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 05:55:00",29.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:00:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:05:00",41.4
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:10:00",37.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:15:00",1.21
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:20:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:25:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:30:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:35:00",38.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:40:00",42.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:45:00",42.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:50:00",23.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 06:55:00",1.21
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:00:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:05:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:10:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:15:00",9.41
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:20:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:25:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:30:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:35:00",10.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:40:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:45:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:50:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 07:55:00",28.2
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:00:00",41.2
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:05:00",41.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:10:00",33.2
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:15:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:20:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:25:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:30:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:35:00",18.0
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:40:00",42.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:45:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:50:00",25.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 08:55:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:00:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:05:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:10:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:15:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:20:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:25:00",38.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:30:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:35:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:40:00",3.23
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:45:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:50:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 09:55:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:00:00",27.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:05:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:10:00",31.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:15:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:20:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:25:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:30:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:35:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:40:00",21.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:45:00",41.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:50:00",37.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 10:55:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:00:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:05:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:10:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:15:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:20:00",5.36
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:25:00",42.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:30:00",42.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:35:00",38.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:40:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:45:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:50:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 11:55:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:00:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:05:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:10:00",10.4
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:15:00",42.2
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:20:00",42.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:25:00",17.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:30:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:35:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:40:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:45:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:50:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 12:55:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:00:00",30.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:05:00",42.2
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:10:00",42.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:15:00",9.41
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:20:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:25:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:30:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:35:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:40:00",26.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:45:00",42.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:50:00",42.4
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 13:55:00",42.3
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:00:00",5.78
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:05:00",1.21
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:10:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:15:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:20:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:25:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:30:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:35:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:40:00",36.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:45:00",42.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:50:00",20.0
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 14:55:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:00:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:05:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:10:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:15:00",7.52
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:20:00",42.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:25:00",42.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:30:00",20.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:35:00",1.21
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:40:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:45:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:50:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 15:55:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:00:00",1.17
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:05:00",5.79
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:10:00",41.9
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:15:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:20:00",17.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:25:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:30:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:35:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:40:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:45:00",17.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:50:00",42.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 16:55:00",42.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:00:00",8.63
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:05:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:10:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:15:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:20:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:25:00",34.1
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:30:00",41.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:35:00",23.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:40:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:45:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:50:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 17:55:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:00:00",13.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:05:00",41.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:10:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:15:00",21.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:20:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:25:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:30:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:35:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:40:00",5.29
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:45:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:50:00",41.5
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 18:55:00",14.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 19:00:00",1.20
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 19:05:00",1.19
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 19:10:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 19:15:00",1.18
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 19:20:00",13.8
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 19:25:00",42.7
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 19:30:00",42.6
bdaf0e14-2cd1-43c8-b9ea-b3c90309f773,"Device 1","2026-03-31 19:35:00",9.50
